RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,,,,
309,Arunachal Pradesh,CHANGLANG,2017,Whole Year ,Sugarcane,545,7090,,,,
310,Maharashtra,GADCHIROLI,2022,Rabi       ,Wheat,1200,1200,,,,
311,Odisha,BALESHWAR,2014,Summer     ,Wheat,267,298.5,,,,
312,Bihar,KHAGARIA,2014,Kharif     ,Bajra,4,4,,,,
313,Chhattisgarh,BASTAR,2017,Rabi       ,Moong(Green Gram),15,4,,,,
314,Rajasthan,JODHPUR,2011,Kharif     ,Castor seed,4835,3799,,,,
315,Himachal Pradesh,SHIMLA,2013,Rabi       ,Coriander,35,7,,,,
316,Tamil Nadu,MADURAI,2021,Rabi       ,Groundnut,1051,2316,,,,
317,Chhattisgarh,DURG,2017,Rabi       ,Gram,101459,98361,,,,
318,Odisha,BALESHWAR,2010,Rabi       ,Other  Rabi pulses,640,600,,,,
319,Tamil Nadu,NAGAPATTINAM,2014,Whole Year ,Banana,613,32847,,,,
320,Gujarat,SURAT,2018,Kharif     ,Sesamum,1300,600,,,,
321,Madhya Pradesh,ANUPPUR,2014,Kharif     ,Groundnut,532,359,,,,
322,Madhya Pradesh,GUNA,2020,Rabi       ,Gram,78328,128818,,,,
323,Tamil Nadu,MADURAI,2016,Whole Year ,Sugarcane,4966,592186,,,,
324,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2021,Rabi       ,Rice,325,631,,,,
